iter	RMSE
0	14.91656723
1	14.76594725
2	14.61313595
3	14.47379492
4	14.34893574
5	14.22243143
6	14.11356047
7	13.99334216
8	13.8889946
9	13.77974629
10	13.70850317
11	13.65115164
12	13.55855927
13	13.47955284
14	13.40555898
15	13.32659001
16	13.26329434
17	13.19755214
18	13.1397763
19	13.08784393
20	13.03394171
21	12.97826891
22	12.92723559
23	12.87983724
24	12.83084707
25	12.79410715
26	12.74344106
27	12.73097856
28	12.68358282
29	12.67734826
30	12.63745189
31	12.59760985
32	12.55838366
33	12.52052107
34	12.49384769
35	12.47931236
36	12.45889108
37	12.42879183
38	12.41895109
39	12.39112607
40	12.3661775
41	12.33638755
42	12.32220059
43	12.30011771
44	12.27283516
45	12.26050275
46	12.24529373
47	12.2232627
48	12.20629035
49	12.18381384
50	12.16557014
51	12.15790663
52	12.14116138
53	12.12416085
54	12.12128073
55	12.11706404
56	12.09400969
57	12.07236271
58	12.06484679
59	12.05568439
60	12.03770963
61	12.02365389
62	12.00957148
63	11.99474851
64	11.98082712
65	11.97032811
66	11.96252705
67	11.95053048
68	11.9472692
69	11.93696978
70	11.92281879
71	11.91663491
72	11.90607574
73	11.89526046
74	11.89040425
75	11.87869344
76	11.87075562
77	11.86037897
78	11.85551604
79	11.84455736
80	11.84358924
81	11.8391075
82	11.83293841
83	11.82062289
84	11.81099119
85	11.80774129
86	11.79785521
87	11.78633255
88	11.77845757
89	11.7723656
90	11.76286467
91	11.75523699
92	11.74644218
93	11.74470327
94	11.73510848
95	11.73363597
96	11.72580351
97	11.72256237
98	11.72147127
99	11.71530686
100	11.70595631
101	11.69869068
102	11.69493582
103	11.68644801
104	11.68545355
105	11.6784981
106	11.67298972
107	11.66641782
108	11.66078208
109	11.65978924
110	11.6530939
111	11.64841621
112	11.64381036
113	11.63858649
114	11.63274359
115	11.62747256
116	11.6233993
117	11.6185379
118	11.61198177
119	11.60669391
120	11.60140638
121	11.59874949
122	11.59428763
123	11.59155938
124	11.58608067
125	11.58585793
126	11.58015512
127	11.57249698
128	11.57090604
129	11.56887034
130	11.56843914
131	11.56280161
132	11.56243108
133	11.5579145
134	11.55536629
135	11.55142118
136	11.54759478
137	11.54152028
138	11.53883634
139	11.53752824
140	11.53255221
141	11.52591825
142	11.52003071
143	11.51594106
144	11.51515458
145	11.51257028
146	11.50912282
147	11.50779957
148	11.50547124
149	11.50510253
150	11.50443824
151	11.50109611
152	11.49720728
153	11.49643148
154	11.49403924
155	11.48982169
156	11.4864383
157	11.48354117
158	11.48073138
159	11.48016726
160	11.47647577
161	11.47199297
162	11.47145217
163	11.47121068
164	11.46985889
165	11.46663707
166	11.46414596
167	11.46063238
168	11.46054459
169	11.45735792
170	11.4531428
171	11.44820267
172	11.44290683
173	11.43850067
174	11.438423
175	11.4365851
176	11.4365158
177	11.43257337
178	11.42835751
179	11.42435037
180	11.42060826
181	11.41784034
182	11.41720892
183	11.41328741
184	11.40976722
185	11.40526887
186	11.40265548
187	11.40064437
188	11.39763139
189	11.39501408
190	11.39030765
191	11.38663382
192	11.38333775
193	11.38035666
194	11.37731173
195	11.37386892
196	11.37117708
197	11.36991831
198	11.36589478
199	11.36313029
200	11.36038479
201	11.35628203
202	11.35423081
203	11.35183558
204	11.35157902
205	11.34951538
206	11.34738484
207	11.3438759
208	11.33934508
209	11.33732608
210	11.33334258
211	11.32999487
212	11.3266061
213	11.32328911
214	11.32094061
215	11.32070522
216	11.31761287
217	11.31442826
218	11.31186569
219	11.30976206
220	11.30694373
221	11.30546755
222	11.30146353
223	11.30019842
224	11.29885646
225	11.29612885
226	11.29281619
227	11.29148871
228	11.28839317
229	11.28530258
230	11.28354334
231	11.28097109
232	11.27751787
233	11.27486523
234	11.27294759
235	11.26990361
236	11.26858566
237	11.26569333
238	11.26414832
239	11.26321128
240	11.26063525
241	11.25778795
242	11.2560273
243	11.25503269
244	11.25323597
245	11.25140585
246	11.24855958
247	11.24661572
248	11.24508694
249	11.24299218
250	11.24118733
251	11.23902076
252	11.23735684
253	11.23608867
254	11.23444703
255	11.23240413
256	11.23045316
257	11.22814393
258	11.22720089
259	11.22563892
260	11.22362919
261	11.22131171
262	11.2198424
263	11.21920212
264	11.21859021
265	11.21745946
266	11.21564897
267	11.21414288
268	11.21208884
269	11.20922038
270	11.20829075
271	11.20723938
272	11.20617183
273	11.20447229
274	11.20378313
275	11.20254543
276	11.20162185
277	11.19926538
278	11.19814262
279	11.19659354
280	11.19572586
281	11.19390668
282	11.19201022
283	11.19102317
284	11.18977732
285	11.18877316
286	11.18702087
287	11.1858053
288	11.18387462
289	11.18204623
290	11.18126892
291	11.17993408
292	11.17790336
293	11.17597104
294	11.17514438
295	11.17347694
296	11.17204293
297	11.170857
298	11.17006063
299	11.16745811
300	11.16601678
301	11.16514588
302	11.16315384
303	11.16223874
304	11.1614488
305	11.15946741
306	11.15836234
307	11.15707664
308	11.15525483
309	11.15416554
310	11.15213054
311	11.15008944
312	11.14914849
313	11.147528
314	11.14638153
315	11.1451587
316	11.14413844
317	11.14176038
318	11.14048635
319	11.13979575
320	11.13904342
321	11.13848326
322	11.13781037
323	11.13738199
324	11.13538475
325	11.13374707
326	11.13265134
327	11.13138661
328	11.12980529
329	11.1288898
330	11.12733071
331	11.12669339
332	11.12452522
333	11.12245909
334	11.12098662
335	11.11970066
336	11.11885272
337	11.11716914
338	11.11588732
339	11.11508266
340	11.11347707
341	11.11223271
342	11.1104154
343	11.10887892
344	11.10807831
345	11.10673032
346	11.10555643
347	11.10491474
348	11.10429358
349	11.10372665
350	11.10257531
351	11.10141927
352	11.10027357
353	11.09895304
354	11.09804799
355	11.0966737
356	11.09591435
357	11.09495372
358	11.09329988
359	11.09267674
360	11.09208817
361	11.09113347
362	11.09062976
363	11.0900605
364	11.0891944
365	11.08870348
366	11.08803281
367	11.08696809
368	11.08616504
369	11.0857222
370	11.08479683
371	11.08341398
372	11.08226537
373	11.0806761
374	11.07994912
375	11.07852696
376	11.07764424
377	11.07719299
378	11.07569932
379	11.07513543
380	11.07442159
381	11.0732121
382	11.07254689
383	11.07212885
384	11.07141318
385	11.07056012
386	11.0702179
387	11.06907113
388	11.06811541
389	11.06734234
390	11.06677747
391	11.06542898
392	11.06470956
393	11.06391948
394	11.06334998
395	11.06193577
396	11.06088772
397	11.05980086
398	11.0591442
399	11.05840372
400	11.05713643
401	11.05649033
402	11.05590625
403	11.05536188
404	11.05481536
405	11.05429687
406	11.05388853
407	11.0535207
408	11.05295366
409	11.05195025
410	11.05140255
411	11.05038893
412	11.04986777
413	11.04952452
414	11.04893501
415	11.04854041
416	11.04787436
417	11.04752301
418	11.04654274
419	11.04562927
420	11.04539708
421	11.04465877
422	11.0441695
423	11.04386635
424	11.04306704
425	11.04198359
426	11.04166823
427	11.04091718
428	11.04057066
429	11.0401389
430	11.03915864
431	11.03829122
432	11.03794989
433	11.03723066
434	11.03662673
435	11.03551813
436	11.03479235
437	11.03447312
438	11.03361638
439	11.03263718
440	11.03208363
441	11.03183941
442	11.03102013
443	11.03021003
444	11.0298234
445	11.02942791
446	11.02908614
447	11.0288254
448	11.02806125
449	11.02734523
450	11.02667635
451	11.02624837
452	11.02561752
453	11.02541699
454	11.02503938
455	11.02461146
456	11.02416013
457	11.02324757
458	11.02246979
459	11.02160257
460	11.0206476
461	11.02038579
462	11.01995501
463	11.01921381
464	11.01861081
465	11.01807312
466	11.01748497
467	11.01691914
468	11.01630076
469	11.01557754
470	11.01519035
471	11.01486924
472	11.01440816
473	11.01409812
474	11.01343671
475	11.01270315
476	11.01245242
477	11.0121396
478	11.01174654
479	11.01116337
480	11.01093284
481	11.01045333
482	11.00968772
483	11.00894791
484	11.00847324
485	11.00810189
486	11.00760831
487	11.00728112
